src_id,tgt_id,src_title,tgt_title
20000.20100,20100,"{'cs': 'Stavební inženýrství', 'en': 'Civil engineering'}","{'cs': 'Stavební inženýrství', 'en': 'Civil engineering'}"
20000.20100.20101,20101,"{'cs': 'Stavební inženýrství', 'en': 'Civil engineering'}","{'cs': 'Stavební inženýrství', 'en': 'Civil engineering'}"
20000.20400.20401,20401,"{'cs': 'Chemické inženýrství (rostliny, výrobky)', 'en': 'Chemical engineering (plants, products)'}","{'cs': 'Chemické inženýrství (rostliny, výrobky)', 'en': 'Chemical engineering (plants, products)'}"
20000.20400.20402,20402,"{'cs': 'Chemické procesní inženýrství', 'en': 'Chemical process engineering'}","{'cs': 'Chemické procesní inženýrství', 'en': 'Chemical process engineering'}"
20000.20500,20500,"{'cs': 'Materiálové inženýrství', 'en': 'Materials engineering'}","{'cs': 'Materiálové inženýrství', 'en': 'Materials engineering'}"
10000.10600.10617,10617,"{'cs': 'Mořská biologie, sladkovodní biologie, limnologie', 'en': 'Marine biology, freshwater biology, limnology'}","{'cs': 'Mořská biologie, sladkovodní biologie, limnologie', 'en': 'Marine biology, freshwater biology, limnology'}"
10000.10600.10618,10618,"{'cs': 'Ekologie', 'en': 'Ecology'}","{'cs': 'Ekologie', 'en': 'Ecology'}"
20000.20500.20501,20501,"{'cs': 'Materiálové inženýrství', 'en': 'Materials engineering'}","{'cs': 'Materiálové inženýrství', 'en': 'Materials engineering'}"
10000.10600.10619,10619,"{'cs': 'Ochrana biodiverzity', 'en': 'Biodiversity conservation'}","{'cs': 'Ochrana biodiverzity', 'en': 'Biodiversity conservation'}"
20000.20500.20502,20502,"{'cs': 'Papír a dřevo', 'en': 'Paper and wood'}","{'cs': 'Papír a dřevo', 'en': 'Paper and wood'}"
30000.30100.30103,30103,"{'cs': 'Neurovědy (zahrnuje psychofyziologii)', 'en': 'Neurosciences (including psychophysiology)'}","{'cs': 'Neurovědy (zahrnuje psychofyziologii)', 'en': 'Neurosciences (including psychophysiology)'}"
10000.10600.10620,10620,"{'cs': 'Ostatní biologické vědy', 'en': 'Other biological topics'}","{'cs': 'Ostatní biologické vědy', 'en': 'Other biological topics'}"
10000.10700,10700,"{'cs': 'Ostatní přírodní vědy', 'en': 'Other natural sciences'}","{'cs': 'Ostatní přírodní vědy', 'en': 'Other natural sciences'}"
30000.30100.30104,30104,"{'cs': 'Farmakologie a farmacie', 'en': 'Pharmacology and pharmacy'}","{'cs': 'Farmakologie a farmacie', 'en': 'Pharmacology and pharmacy'}"
40000.40400.40403,40403,"{'cs': 'Zemědělské biotechnologie související s etikou', 'en': 'Agricultural biotechnology related ethics'}","{'cs': 'Zemědělské biotechnologie související s etikou', 'en': 'Agricultural biotechnology related ethics'}"
30000.30100.30105,30105,"{'cs': 'Fyziologie (zahrnující cytologii)', 'en': 'Physiology (including cytology)'}","{'cs': 'Fyziologie (zahrnující cytologii)', 'en': 'Physiology (including cytology)'}"
40000.40500,40500,"{'cs': 'Ostatní zemědělské vědy', 'en': 'Other agricultural sciences'}","{'cs': 'Ostatní zemědělské vědy', 'en': 'Other agricultural sciences'}"
50000,50000,"{'cs': 'Společenské vědy', 'en': 'Social sciences'}","{'cs': 'Společenské vědy', 'en': 'Social sciences'}"
30000.30100.30106,30106,"{'cs': 'Anatomie a morfologie', 'en': 'Anatomy and morphology'}","{'cs': 'Anatomie a morfologie', 'en': 'Anatomy and morphology'}"
50000.50100,50100,"{'cs': 'Psychologie a kognitivní věda', 'en': 'Psychology and cognitive sciences'}","{'cs': 'Psychologie a kognitivní věda', 'en': 'Psychology and cognitive sciences'}"
30000.30100.30107,30107,"{'cs': 'Lékařská chemie', 'en': 'Medicinal chemistry'}","{'cs': 'Lékařská chemie', 'en': 'Medicinal chemistry'}"
60000.60400.60404,60404,"{'cs': 'Folkloristika', 'en': 'Folklore studies'}","{'cs': 'Folkloristika', 'en': 'Folklore studies'}"
30000.30100.30108,30108,"{'cs': 'Toxikologie', 'en': 'Toxicology'}","{'cs': 'Toxikologie', 'en': 'Toxicology'}"
60000.60400.60405,60405,"{'cs': 'Film, rádio a televize', 'en': 'Studies on film, radio and television'}","{'cs': 'Film, rádio a televize', 'en': 'Studies on film, radio and television'}"
30000.30100.30109,30109,"{'cs': 'Patologie', 'en': 'Pathology'}","{'cs': 'Patologie', 'en': 'Pathology'}"
60000.60500,60500,"{'cs': 'Ostatní humanitní vědy a obory umění', 'en': 'Other humanities and the arts'}","{'cs': 'Ostatní humanitní vědy a obory umění', 'en': 'Other humanities and the arts'}"
30000.30200,30200,"{'cs': 'Klinická medicína', 'en': 'Clinical medicine'}","{'cs': 'Klinická medicína', 'en': 'Clinical medicine'}"
30000.30200.30201,30201,"{'cs': 'Srdeční a kardiovaskulární systémy', 'en': 'Cardiac and cardiovascular systems'}","{'cs': 'Srdeční a kardiovaskulární systémy', 'en': 'Cardiac and cardiovascular systems'}"
30000.30200.30223,30223,"{'cs': 'Anesteziologie', 'en': 'Anaesthesiology'}","{'cs': 'Anesteziologie', 'en': 'Anaesthesiology'}"
30000.30300.30312,30312,"{'cs': 'Zneužívání návykových látek', 'en': 'Substance abuse'}","{'cs': 'Zneužívání návykových látek', 'en': 'Substance abuse'}"
30000.30400,30400,"{'cs': 'Lékařské biotechnologie', 'en': 'Medical biotechnology'}","{'cs': 'Lékařské biotechnologie', 'en': 'Medical biotechnology'}"
30000.30400.30401,30401,"{'cs': 'Biotechnologie související se zdravím', 'en': 'Health-related biotechnology'}","{'cs': 'Biotechnologie související se zdravím', 'en': 'Health-related biotechnology'}"
40000.40200.40201,40201,"{'cs': 'Vědy o zvířatech a mléce', 'en': 'Animal and dairy science'}","{'cs': 'Vědy o zvířatech a mléce', 'en': 'Animal and dairy science'}"
40000.40200.40202,40202,"{'cs': 'Domácí zvířata', 'en': 'Pets'}","{'cs': 'Domácí zvířata', 'en': 'Pets'}"
40000.40200.40203,40203,"{'cs': 'Chovatelství', 'en': 'Husbandry'}","{'cs': 'Chovatelství', 'en': 'Husbandry'}"
40000.40300,40300,"{'cs': 'Veterinární věda', 'en': 'Veterinary science'}","{'cs': 'Veterinární věda', 'en': 'Veterinary science'}"
40000.40300.40301,40301,"{'cs': 'Veterinární věda', 'en': 'Veterinary science'}","{'cs': 'Veterinární věda', 'en': 'Veterinary science'}"
40000.40400,40400,"{'cs': 'Zemědělské biotechnologie', 'en': 'Agricultural biotechnology'}","{'cs': 'Zemědělské biotechnologie', 'en': 'Agricultural biotechnology'}"
50000.50300,50300,"{'cs': 'Vzdělávání', 'en': 'Education'}","{'cs': 'Vzdělávání', 'en': 'Education'}"
